# Title: Per-seed results of the PI-DeepONet re-run
# Description: One row per operator-network training run: architecture, latent and head widths, Legendre order and panel count, seed, parameter count, errors at the reference Reynolds number and mean/median errors over the Re = 1-199 sweep, and training time.
# Note: five seeds per width per model; all rows are included in the reported statistics
# Rows: 40
benchmark,key_id,nh,nn,use_lpa,lpa_order,lpa_panels,latent_dim,head_width,epochs,lr,n_int,n_b,seed,trial,n_params,l2_u_ref,l2_v_ref,l2_p_ref,sweep_median_l2_u,sweep_median_l2_v,sweep_median_l2_p,sweep_mean_l2_u,sweep_mean_l2_v,sweep_mean_l2_p,time_train
kovasznay_pideeponet,LPA_K3_N16,3,8,True,3.0,16.0,64,16,5000,0.002,10000,200,1234,0,2827,0.0162682355855694,0.141499120552272,0.0743324093597434,0.0107805347070097,0.0957252085208892,0.0416524037718772,0.0304996985942125,0.161851167678833,0.0733215510845184,427.3130941390991
kovasznay_pideeponet,LPA_K3_N16,3,8,True,3.0,16.0,64,16,5000,0.002,10000,200,1235,1,2827,0.0500509434199076,0.1971692571878829,0.1169269444407861,0.0174503680318593,0.1482106000185012,0.106679119169712,0.0683056637644767,0.2241632640361786,0.1650244146585464,429.7270050048828
kovasznay_pideeponet,LPA_K3_N16,3,8,True,3.0,16.0,64,16,5000,0.002,10000,200,1236,2,2827,0.0493342624964107,0.2315936561281276,0.1120794035447892,0.0399060882627964,0.3696601390838623,0.1196181923151016,0.0618887953460216,0.3889712989330292,0.134864941239357,418.4866359233856
kovasznay_pideeponet,LPA_K3_N16,3,8,True,3.0,16.0,64,16,5000,0.002,10000,200,1237,3,2827,0.0657569932770214,0.1854984264833742,0.0615975607399414,0.0451028607785701,0.2092655301094055,0.1233139857649803,0.0697870329022407,0.259195476770401,0.1642255932092666,416.6580739021301
kovasznay_pideeponet,LPA_K3_N16,3,8,True,3.0,16.0,64,16,5000,0.002,10000,200,1238,4,2827,0.0151060762268771,0.1262579087506644,0.0546894282343741,0.0086271623149514,0.0961869284510612,0.0260689351707696,0.0364411659538745,0.167389914393425,0.0621259696781635,420.9408881664276
kovasznay_pideeponet,VAN,3,8,False,,,64,16,5000,0.002,10000,200,1234,0,2571,0.0181111247960066,0.1997000839124639,0.1443903917657615,0.0167221259325742,0.1246664151549339,0.0582038089632988,0.0317192524671554,0.2094152271747589,0.1098599955439567,268.73072695732117
kovasznay_pideeponet,VAN,3,8,False,,,64,16,5000,0.002,10000,200,1235,1,2571,0.0339127005312563,0.2789654980699341,0.1608089047167606,0.0247048996388912,0.3687247931957245,0.0823890939354896,0.0487870462238788,0.4548059999942779,0.1391509026288986,273.57377099990845
kovasznay_pideeponet,VAN,3,8,False,,,64,16,5000,0.002,10000,200,1236,2,2571,0.0344228656043633,0.2816603659957274,0.0861909691380497,0.0378409139811992,0.4488681554794311,0.0463535971939563,0.0556723065674304,0.4731909334659576,0.0925767719745636,272.0010190010071
kovasznay_pideeponet,VAN,3,8,False,,,64,16,5000,0.002,10000,200,1237,3,2571,0.1014016423429495,0.4059777196861004,0.1225680228763364,0.0860214680433273,0.389651209115982,0.1033839434385299,0.1079641431570053,0.4282536208629608,0.1397683024406433,267.9803133010864
kovasznay_pideeponet,VAN,3,8,False,,,64,16,5000,0.002,10000,200,1238,4,2571,0.0912140300241155,0.4675819995611223,0.0789269832159529,0.108856700360775,0.5954686999320984,0.05244030803442,0.1151548400521278,0.6144518852233887,0.0788839533925056,271.30917525291443
