Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
9.400000000000000000e+01,2.049498073756694794e-02,4.117152187973260880e-03,6.213140673935413361e-03,2.476228028535842896e-02,1.405806392431259155e-01,3.952404111623764038e-02
9.500000000000000000e+01,2.048626728355884552e-02,4.062024876475334167e-03,6.173528265208005905e-03,2.477070689201354980e-02,1.395125091075897217e-01,3.953831270337104797e-02
9.600000000000000000e+01,2.048007026314735413e-02,4.009669646620750427e-03,6.132931448519229889e-03,2.478022500872612000e-02,1.384769380092620850e-01,3.954230621457099915e-02
9.700000000000000000e+01,2.047670632600784302e-02,3.959535155445337296e-03,6.091368850320577621e-03,2.479071915149688721e-02,1.374776661396026611e-01,3.953593224287033081e-02
9.800000000000000000e+01,2.047584019601345062e-02,3.911655861884355545e-03,6.048880983144044876e-03,2.480218745768070221e-02,1.365179866552352905e-01,3.951870650053024292e-02
9.900000000000000000e+01,2.047723345458507538e-02,3.865826409310102463e-03,6.005450617522001266e-03,2.481456659734249115e-02,1.356019824743270874e-01,3.949039429426193237e-02
1.000000000000000000e+02,2.048007585108280182e-02,3.822116879746317863e-03,5.960988812148571014e-03,2.482783794403076172e-02,1.347315013408660889e-01,3.945077955722808838e-02
1.010000000000000000e+02,2.048436366021633148e-02,3.780306316912174225e-03,5.915459711104631424e-03,2.484188228845596313e-02,1.339092999696731567e-01,3.940001130104064941e-02
1.020000000000000000e+02,2.049011737108230591e-02,3.740461776033043861e-03,5.868887994438409805e-03,2.485678531229496002e-02,1.331394165754318237e-01,3.933798149228096008e-02
1.030000000000000000e+02,2.049738541245460510e-02,3.702454734593629837e-03,5.821328144520521164e-03,2.487246878445148468e-02,1.324229687452316284e-01,3.926454111933708191e-02
1.040000000000000000e+02,2.050649188458919525e-02,3.666302189230918884e-03,5.772782955318689346e-03,2.488883398473262787e-02,1.317625790834426880e-01,3.918027877807617188e-02
1.050000000000000000e+02,2.051813714206218719e-02,3.631880506873130798e-03,5.723119247704744339e-03,2.490597963333129883e-02,1.311599761247634888e-01,3.908475488424301147e-02
1.060000000000000000e+02,2.053210698068141937e-02,3.599226474761962891e-03,5.672543309628963470e-03,2.492382377386093140e-02,1.306167989969253540e-01,3.897871822118759155e-02
1.070000000000000000e+02,2.054776996374130249e-02,3.568353364244103432e-03,5.621024873107671738e-03,2.494231425225734711e-02,1.301352679729461670e-01,3.886224702000617981e-02
1.080000000000000000e+02,2.056501992046833038e-02,3.539170837029814720e-03,5.568685010075569153e-03,2.496152929961681366e-02,1.297158002853393555e-01,3.873586282134056091e-02
1.090000000000000000e+02,2.058384753763675690e-02,3.511452116072177887e-03,5.515614524483680725e-03,2.498139441013336182e-02,1.293593794107437134e-01,3.859968110918998718e-02
1.100000000000000000e+02,2.060375362634658813e-02,3.485250752419233322e-03,5.461685825139284134e-03,2.500189282000064850e-02,1.290679723024368286e-01,3.845436125993728638e-02
1.110000000000000000e+02,2.062463201582431793e-02,3.460506908595561981e-03,5.406869109719991684e-03,2.502306178212165833e-02,1.288409084081649780e-01,3.830002248287200928e-02
1.120000000000000000e+02,2.064670994877815247e-02,3.437196370214223862e-03,5.351277068257331848e-03,2.504481747746467590e-02,1.286795437335968018e-01,3.813743963837623596e-02
1.130000000000000000e+02,2.067008987069129944e-02,3.415231360122561455e-03,5.295000504702329636e-03,2.506720647215843201e-02,1.285836100578308105e-01,3.796763718128204346e-02
1.140000000000000000e+02,2.069505676627159119e-02,3.394514555111527443e-03,5.237942095845937729e-03,2.509025856852531433e-02,1.285540014505386353e-01,3.779024630784988403e-02
1.150000000000000000e+02,2.072105929255485535e-02,3.375105559825897217e-03,5.180328618735074997e-03,2.511391974985599518e-02,1.285893321037292480e-01,3.760656341910362244e-02
1.160000000000000000e+02,2.074827812612056732e-02,3.357062814757227898e-03,5.122244358062744141e-03,2.513819374144077301e-02,1.286907941102981567e-01,3.741727024316787720e-02
1.170000000000000000e+02,2.077635005116462708e-02,3.340755356475710869e-03,5.063639022409915924e-03,2.516307309269905090e-02,1.288569867610931396e-01,3.722289949655532837e-02
1.180000000000000000e+02,2.080553956329822540e-02,3.325982950627803802e-03,5.004482343792915344e-03,2.518852241337299347e-02,1.290877610445022583e-01,3.702437132596969604e-02
1.190000000000000000e+02,2.083597704768180847e-02,3.312540473416447639e-03,4.944770596921443939e-03,2.521465346217155457e-02,1.293825358152389526e-01,3.682222217321395874e-02
1.200000000000000000e+02,2.086802758276462555e-02,3.300270065665245056e-03,4.884705878794193268e-03,2.524134889245033264e-02,1.297404617071151733e-01,3.661758452653884888e-02
1.210000000000000000e+02,2.090222015976905823e-02,3.289186395704746246e-03,4.824277479201555252e-03,2.526868693530559540e-02,1.301602423191070557e-01,3.641103208065032959e-02
1.220000000000000000e+02,2.093779668211936951e-02,3.279230091720819473e-03,4.763491917401552200e-03,2.529662102460861206e-02,1.306414753198623657e-01,3.620361909270286560e-02
1.230000000000000000e+02,2.097454294562339783e-02,3.270464017987251282e-03,4.702402278780937195e-03,2.532516606152057648e-02,1.311828196048736572e-01,3.599627315998077393e-02
1.240000000000000000e+02,2.101228758692741394e-02,3.263327060267329216e-03,4.641175270080566406e-03,2.535434626042842865e-02,1.317828893661499023e-01,3.578987717628479004e-02
1.250000000000000000e+02,2.105103991925716400e-02,3.257603850215673447e-03,4.579844884574413300e-03,2.538413368165493011e-02,1.324409544467926025e-01,3.558550775051116943e-02
1.260000000000000000e+02,2.109084837138652802e-02,3.253358183428645134e-03,4.518268629908561707e-03,2.541451156139373779e-02,1.331549882888793945e-01,3.538389876484870911e-02
1.270000000000000000e+02,2.113234251737594604e-02,3.250423818826675415e-03,4.456800408661365509e-03,2.544553391635417938e-02,1.339243203401565552e-01,3.518653288483619690e-02
1.280000000000000000e+02,2.117559500038623810e-02,3.248680382966995239e-03,4.395650699734687805e-03,2.547719143331050873e-02,1.347476243972778320e-01,3.499390557408332825e-02
1.290000000000000000e+02,2.122016437351703644e-02,3.248051041737198830e-03,4.335260950028896332e-03,2.550945803523063660e-02,1.356228291988372803e-01,3.480766341090202332e-02
1.300000000000000000e+02,2.126571722328662872e-02,3.248393302783370018e-03,4.275793209671974182e-03,2.554231509566307068e-02,1.365492194890975952e-01,3.462865576148033142e-02
1.310000000000000000e+02,2.131251804530620575e-02,3.249669680371880531e-03,4.217453300952911377e-03,2.557586506009101868e-02,1.375251561403274536e-01,3.445784747600555420e-02
1.320000000000000000e+02,2.136082947254180908e-02,3.251785645261406898e-03,4.160435404628515244e-03,2.560999244451522827e-02,1.385488361120223999e-01,3.429657593369483948e-02
1.330000000000000000e+02,2.141013555228710175e-02,3.254753770306706429e-03,4.104970488697290421e-03,2.564477361738681793e-02,1.396196037530899048e-01,3.414576128125190735e-02
