Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.390000000000000000e+02,9.793869219720363617e-03,1.969408011063933372e-03,1.743197441101074219e-03,1.087528187781572342e-02,8.530308306217193604e-02,1.601510867476463318e-02
1.400000000000000000e+02,9.761323221027851105e-03,1.984647940844297409e-03,1.723549677990376949e-03,1.088031195104122162e-02,8.643263578414916992e-02,1.595415361225605011e-02
1.410000000000000000e+02,9.731586091220378876e-03,1.999803818762302399e-03,1.704558148048818111e-03,1.088643539696931839e-02,8.757926523685455322e-02,1.589897833764553070e-02
1.420000000000000000e+02,9.703041054308414459e-03,2.014952711760997772e-03,1.686220755800604820e-03,1.089360285550355911e-02,8.874221146106719971e-02,1.584977470338344574e-02
1.430000000000000000e+02,9.676507674157619476e-03,2.029988216236233711e-03,1.668465090915560722e-03,1.090190000832080841e-02,8.992043137550354004e-02,1.580673642456531525e-02
1.440000000000000000e+02,9.652099572122097015e-03,2.044980879873037338e-03,1.651282072998583317e-03,1.091132964938879013e-02,9.111370146274566650e-02,1.577028445899486542e-02
1.450000000000000000e+02,9.630104526877403259e-03,2.059948630630970001e-03,1.634663436561822891e-03,1.092191413044929504e-02,9.232232719659805298e-02,1.574103720486164093e-02
1.460000000000000000e+02,9.612233377993106842e-03,2.074873540550470352e-03,1.618721522390842438e-03,1.093374006450176239e-02,9.354455024003982544e-02,1.571930199861526489e-02
1.470000000000000000e+02,9.597896598279476166e-03,2.089779358357191086e-03,1.603487064130604267e-03,1.094668824225664139e-02,9.478092938661575317e-02,1.570537500083446503e-02
1.480000000000000000e+02,9.586391039192676544e-03,2.104651415720582008e-03,1.588984276168048382e-03,1.096097938716411591e-02,9.603053331375122070e-02,1.569964550435543060e-02
1.490000000000000000e+02,9.577339515089988708e-03,2.119492972269654274e-03,1.575225032866001129e-03,1.097643282264471054e-02,9.729274362325668335e-02,1.570259593427181244e-02
1.500000000000000000e+02,9.571326896548271179e-03,2.134302631020545959e-03,1.562303747050464153e-03,1.099319476634263992e-02,9.856732189655303955e-02,1.571449264883995056e-02
1.510000000000000000e+02,9.568737819790840149e-03,2.149053383618593216e-03,1.550331944599747658e-03,1.101125683635473251e-02,9.985399991273880005e-02,1.573580317199230194e-02
1.520000000000000000e+02,9.569738060235977173e-03,2.163776196539402008e-03,1.539251185022294521e-03,1.103059202432632446e-02,1.011527180671691895e-01,1.576705276966094971e-02
1.530000000000000000e+02,9.573521092534065247e-03,2.178454538807272911e-03,1.529150526039302349e-03,1.105126924812793732e-02,1.024626865983009338e-01,1.580839976668357849e-02
1.540000000000000000e+02,9.580117650330066681e-03,2.193106571212410927e-03,1.520044170320034027e-03,1.107324287295341492e-02,1.037833094596862793e-01,1.586005091667175293e-02
1.550000000000000000e+02,9.589256718754768372e-03,2.207844052463769913e-03,1.512026763521134853e-03,1.109658554196357727e-02,1.051147133111953735e-01,1.592263020575046539e-02
1.560000000000000000e+02,9.600727818906307220e-03,2.222585259005427361e-03,1.505113556049764156e-03,1.112126652151346207e-02,1.064563468098640442e-01,1.599636115133762360e-02
1.570000000000000000e+02,9.614777751266956329e-03,2.237396081909537315e-03,1.499329227954149246e-03,1.114729698747396469e-02,1.078081727027893066e-01,1.608143001794815063e-02
1.580000000000000000e+02,9.631602093577384949e-03,2.252221573144197464e-03,1.494760275818407536e-03,1.117469184100627899e-02,1.091692820191383362e-01,1.617813482880592346e-02
1.590000000000000000e+02,9.650863707065582275e-03,2.267110394313931465e-03,1.491385512053966522e-03,1.120347622781991959e-02,1.105402633547782898e-01,1.628691144287586212e-02
1.600000000000000000e+02,9.672880172729492188e-03,2.282027853652834892e-03,1.489213318563997746e-03,1.123358495533466339e-02,1.119201183319091797e-01,1.640772074460983276e-02
1.610000000000000000e+02,9.698458947241306305e-03,2.296959282830357552e-03,1.488596783019602299e-03,1.126508414745330811e-02,1.133085414767265320e-01,1.654075272381305695e-02
1.620000000000000000e+02,9.727488271892070770e-03,2.311922376975417137e-03,1.489489339292049408e-03,1.129795424640178680e-02,1.147063598036766052e-01,1.668651401996612549e-02
1.630000000000000000e+02,9.759083390235900879e-03,2.326886868104338646e-03,1.491733593866229057e-03,1.133220177143812180e-02,1.161115020513534546e-01,1.684465259313583374e-02
