Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
8.000000000000000000e+01,2.705207467079162598e-02,2.885777503252029419e-03,4.413814283907413483e-03,3.113540261983871460e-02,7.808709144592285156e-02,2.585491724312305450e-02
8.100000000000000000e+01,2.719807997345924377e-02,2.847912255674600601e-03,4.396075848489999771e-03,3.129156306385993958e-02,7.783940434455871582e-02,2.601359784603118896e-02
8.200000000000000000e+01,2.734249830245971680e-02,2.811201149597764015e-03,4.377154633402824402e-03,3.144650161266326904e-02,7.761088013648986816e-02,2.615930326282978058e-02
8.300000000000000000e+01,2.748529613018035889e-02,2.775688888505101204e-03,4.357637371867895126e-03,3.160022199153900146e-02,7.740159332752227783e-02,2.629296109080314636e-02
8.400000000000000000e+01,2.762712351977825165e-02,2.741312840953469276e-03,4.338185302913188934e-03,3.175263851881027222e-02,7.721073180437088013e-02,2.641540206968784332e-02
8.500000000000000000e+01,2.776896581053733826e-02,2.708268351852893829e-03,4.319325089454650879e-03,3.190371394157409668e-02,7.703841477632522583e-02,2.652765251696109772e-02
8.600000000000000000e+01,2.791043370962142944e-02,2.676099771633744240e-03,4.302622284740209579e-03,3.205347061157226562e-02,7.688547670841217041e-02,2.663107961416244507e-02
8.700000000000000000e+01,2.805082313716411591e-02,2.644924446940422058e-03,4.287766292691230774e-03,3.220184147357940674e-02,7.675187289714813232e-02,2.672651410102844238e-02
8.800000000000000000e+01,2.818921580910682678e-02,2.614864381030201912e-03,4.272770136594772339e-03,3.234881907701492310e-02,7.663809508085250854e-02,2.681465819478034973e-02
8.900000000000000000e+01,2.832566574215888977e-02,2.585730049759149551e-03,4.257737193256616592e-03,3.249441459774971008e-02,7.654480636119842529e-02,2.689664624631404877e-02
9.000000000000000000e+01,2.846024185419082642e-02,2.557395724579691887e-03,4.242792725563049316e-03,3.263860568404197693e-02,7.647298276424407959e-02,2.697333879768848419e-02
9.100000000000000000e+01,2.859318256378173828e-02,2.529775025323033333e-03,4.227678291499614716e-03,3.278144821524620056e-02,7.642312347888946533e-02,2.704568952322006226e-02
9.200000000000000000e+01,2.872478589415550232e-02,2.503067255020141602e-03,4.212677013128995895e-03,3.292288631200790405e-02,7.639613002538681030e-02,2.711453475058078766e-02
9.300000000000000000e+01,2.885540761053562164e-02,2.477535977959632874e-03,4.197828005999326706e-03,3.306297585368156433e-02,7.639249414205551147e-02,2.718036994338035583e-02
9.400000000000000000e+01,2.898619323968887329e-02,2.452932298183441162e-03,4.183013923466205597e-03,3.320169821381568909e-02,7.641336321830749512e-02,2.724398486316204071e-02
9.500000000000000000e+01,2.911702357232570648e-02,2.429305342957377434e-03,4.168775863945484161e-03,3.333916142582893372e-02,7.645968347787857056e-02,2.730650268495082855e-02
9.600000000000000000e+01,2.924703061580657959e-02,2.406724495813250542e-03,4.154986701905727386e-03,3.347527235746383667e-02,7.653251290321350098e-02,2.736810781061649323e-02
9.700000000000000000e+01,2.937560714781284332e-02,2.385324565693736076e-03,4.141935613006353378e-03,3.361006826162338257e-02,7.663212716579437256e-02,2.742990106344223022e-02
9.800000000000000000e+01,2.950278297066688538e-02,2.365113003179430962e-03,4.129642155021429062e-03,3.374370932579040527e-02,7.675985991954803467e-02,2.749185450375080109e-02
9.900000000000000000e+01,2.962837740778923035e-02,2.346033230423927307e-03,4.118146374821662903e-03,3.387605771422386169e-02,7.691610604524612427e-02,2.755481190979480743e-02
1.000000000000000000e+02,2.975243516266345978e-02,2.328145783394575119e-03,4.107126034796237946e-03,3.400720655918121338e-02,7.710174471139907837e-02,2.761933580040931702e-02
1.010000000000000000e+02,2.987514063715934753e-02,2.311533549800515175e-03,4.095983225852251053e-03,3.413720428943634033e-02,7.731776684522628784e-02,2.768601477146148682e-02
1.020000000000000000e+02,2.999658882617950439e-02,2.296177903190255165e-03,4.084635060280561447e-03,3.426606208086013794e-02,7.756453752517700195e-02,2.775487489998340607e-02
1.030000000000000000e+02,3.011692501604557037e-02,2.282006200402975082e-03,4.073160234838724136e-03,3.439377248287200928e-02,7.784257084131240845e-02,2.782628126442432404e-02
1.040000000000000000e+02,3.023705072700977325e-02,2.269136952236294746e-03,4.061764571815729141e-03,3.452045470476150513e-02,7.815261930227279663e-02,2.790114097297191620e-02
1.050000000000000000e+02,3.035738877952098846e-02,2.257751533761620522e-03,4.050341900438070297e-03,3.464603796601295471e-02,7.849504798650741577e-02,2.797964029014110565e-02
1.060000000000000000e+02,3.047728538513183594e-02,2.247455297037959099e-03,4.038885235786437988e-03,3.477062657475471497e-02,7.886998355388641357e-02,2.806134335696697235e-02
1.070000000000000000e+02,3.059663996100425720e-02,2.238285960629582405e-03,4.027598537504673004e-03,3.489419817924499512e-02,7.927874475717544556e-02,2.814748324453830719e-02
1.080000000000000000e+02,3.071558848023414612e-02,2.230221172794699669e-03,4.016410559415817261e-03,3.501682355999946594e-02,7.971972227096557617e-02,2.823767438530921936e-02
1.090000000000000000e+02,3.083351440727710724e-02,2.223293762654066086e-03,4.005427006632089615e-03,3.513849526643753052e-02,8.019536733627319336e-02,2.833232469856739044e-02
1.100000000000000000e+02,3.095021657645702362e-02,2.217303495854139328e-03,3.994518890976905823e-03,3.525925055146217346e-02,8.070412278175354004e-02,2.843151055276393890e-02
1.110000000000000000e+02,3.106581419706344604e-02,2.212362829595804214e-03,3.983765840530395508e-03,3.537915647029876709e-02,8.124699443578720093e-02,2.853569947183132172e-02
1.120000000000000000e+02,3.118027374148368835e-02,2.208507619798183441e-03,3.973242826759815216e-03,3.549818694591522217e-02,8.182371407747268677e-02,2.864479646086692810e-02
1.130000000000000000e+02,3.129365295171737671e-02,2.205616328865289688e-03,3.962909802794456482e-03,3.561638668179512024e-02,8.243373036384582520e-02,2.875859290361404419e-02
1.140000000000000000e+02,3.140603750944137573e-02,2.203790936619043350e-03,3.952943254262208939e-03,3.573379665613174438e-02,8.307769149541854858e-02,2.887794747948646545e-02
1.150000000000000000e+02,3.151737153530120850e-02,2.203036332502961159e-03,3.943280316889286041e-03,3.585043177008628845e-02,8.375495672225952148e-02,2.900206297636032104e-02
1.160000000000000000e+02,3.162778913974761963e-02,2.203362993896007538e-03,3.933893516659736633e-03,3.596628829836845398e-02,8.446548879146575928e-02,2.913174405694007874e-02
1.170000000000000000e+02,3.173767775297164917e-02,2.204809105023741722e-03,3.924767952412366867e-03,3.608143329620361328e-02,8.520896732807159424e-02,2.926656790077686310e-02
1.180000000000000000e+02,3.184853866696357727e-02,2.207402605563402176e-03,3.915943205356597900e-03,3.619587048888206482e-02,8.598544448614120483e-02,2.940676175057888031e-02
1.190000000000000000e+02,3.195955604314804077e-02,2.211103448644280434e-03,3.907459322363138199e-03,3.630960732698440552e-02,8.679396659135818481e-02,2.955244667828083038e-02
1.200000000000000000e+02,3.207056969404220581e-02,2.215896965935826302e-03,3.899287432432174683e-03,3.642269223928451538e-02,8.763403445482254028e-02,2.970331534743309021e-02
1.210000000000000000e+02,3.218116983771324158e-02,2.221764298155903816e-03,3.891452681273221970e-03,3.653514757752418518e-02,8.850615471601486206e-02,2.985952608287334442e-02
1.220000000000000000e+02,3.229113295674324036e-02,2.228536875918507576e-03,3.884077537804841995e-03,3.664695471525192261e-02,8.940880000591278076e-02,3.002136386930942535e-02
1.230000000000000000e+02,3.240052610635757446e-02,2.236153930425643921e-03,3.877033712342381477e-03,3.675820305943489075e-02,9.034200012683868408e-02,3.018793649971485138e-02
1.240000000000000000e+02,3.250924497842788696e-02,2.244566334411501884e-03,3.870423184707760811e-03,3.686885163187980652e-02,9.130518883466720581e-02,3.036038577556610107e-02
1.250000000000000000e+02,3.261740133166313171e-02,2.253746148198843002e-03,3.864171681925654411e-03,3.697893768548965454e-02,9.229783713817596436e-02,3.053775057196617126e-02
1.260000000000000000e+02,3.272482380270957947e-02,2.263669157400727272e-03,3.858326701447367668e-03,3.708846122026443481e-02,9.331943094730377197e-02,3.072040155529975891e-02
1.270000000000000000e+02,3.283169493079185486e-02,2.274371916428208351e-03,3.852840512990951538e-03,3.719748556613922119e-02,9.436900168657302856e-02,3.090807981789112091e-02
1.280000000000000000e+02,3.293788060545921326e-02,2.285867696627974510e-03,3.847814630717039108e-03,3.730591759085655212e-02,9.544701874256134033e-02,3.110124543309211731e-02
1.290000000000000000e+02,3.304342180490493774e-02,2.298035891726613045e-03,3.843164071440696716e-03,3.741389513015747070e-02,9.655176848173141479e-02,3.129928186535835266e-02
1.300000000000000000e+02,3.314839676022529602e-02,2.310890471562743187e-03,3.838906064629554749e-03,3.752140328288078308e-02,9.768310189247131348e-02,3.150207549333572388e-02
1.310000000000000000e+02,3.325266763567924500e-02,2.324474044144153595e-03,3.835137235000729561e-03,3.762841597199440002e-02,9.884048253297805786e-02,3.171011060476303101e-02
1.320000000000000000e+02,3.335642814636230469e-02,2.338901162147521973e-03,3.831825684756040573e-03,3.773499280214309692e-02,1.000233963131904602e-01,3.192311525344848633e-02
1.330000000000000000e+02,3.345964476466178894e-02,2.354253316298127174e-03,3.828959306702017784e-03,3.784108906984329224e-02,1.012309044599533081e-01,3.214079141616821289e-02
1.340000000000000000e+02,3.356286510825157166e-02,2.370329806581139565e-03,3.826578846201300621e-03,3.794672712683677673e-02,1.024623364210128784e-01,3.236328437924385071e-02
1.350000000000000000e+02,3.366674482822418213e-02,2.387046581134200096e-03,3.824662882834672928e-03,3.805199265480041504e-02,1.037176400423049927e-01,3.259044513106346130e-02
1.360000000000000000e+02,3.377208486199378967e-02,2.404352417215704918e-03,3.823230043053627014e-03,3.815680742263793945e-02,1.049956753849983215e-01,3.282234072685241699e-02
1.370000000000000000e+02,3.387739881873130798e-02,2.422180259600281715e-03,3.822279628366231918e-03,3.826125338673591614e-02,1.062967181205749512e-01,3.305880352854728699e-02
1.380000000000000000e+02,3.398226201534271240e-02,2.440311247482895851e-03,3.821854013949632645e-03,3.836530074477195740e-02,1.076191812753677368e-01,3.329981490969657898e-02
1.390000000000000000e+02,3.408674150705337524e-02,2.458853414282202721e-03,3.821932943537831306e-03,3.846893087029457092e-02,1.089635789394378662e-01,3.354505077004432678e-02
1.400000000000000000e+02,3.419083729386329651e-02,2.477842150256037712e-03,3.822718048468232155e-03,3.857222199440002441e-02,1.103286519646644592e-01,3.379546105861663818e-02
1.410000000000000000e+02,3.429440408945083618e-02,2.497062785550951958e-03,3.824088955298066139e-03,3.867514058947563171e-02,1.117132306098937988e-01,3.404950350522994995e-02
1.420000000000000000e+02,3.439755737781524658e-02,2.516508568078279495e-03,3.826322499662637711e-03,3.877768293023109436e-02,1.131182312965393066e-01,3.430830687284469604e-02
1.430000000000000000e+02,3.450023382902145386e-02,2.536155050620436668e-03,3.829209133982658386e-03,3.887990862131118774e-02,1.145421266555786133e-01,3.457121923565864563e-02
1.440000000000000000e+02,3.460246697068214417e-02,2.556073945015668869e-03,3.832714166492223740e-03,3.898175433278083801e-02,1.159849315881729126e-01,3.483836725354194641e-02
1.450000000000000000e+02,3.470411524176597595e-02,2.576241269707679749e-03,3.836727468296885490e-03,3.908326476812362671e-02,1.174461022019386292e-01,3.510994836688041687e-02
1.460000000000000000e+02,3.480517119169235229e-02,2.596535952761769295e-03,3.841205267235636711e-03,3.918444365262985229e-02,1.189248487353324890e-01,3.538533672690391541e-02
1.470000000000000000e+02,3.490567207336425781e-02,2.616970101371407509e-03,3.846059786155819893e-03,3.928531333804130554e-02,1.204208955168724060e-01,3.566523268818855286e-02
1.480000000000000000e+02,3.500554338097572327e-02,2.637581666931509972e-03,3.851236309856176376e-03,3.938584029674530029e-02,1.219339296221733093e-01,3.594893589615821838e-02
1.490000000000000000e+02,3.510501235723495483e-02,2.658374374732375145e-03,3.856790252029895782e-03,3.948608040809631348e-02,1.234633103013038635e-01,3.623675554990768433e-02
1.500000000000000000e+02,3.520439937710762024e-02,2.679264405742287636e-03,3.862621961161494255e-03,3.958596289157867432e-02,1.250082701444625854e-01,3.652846440672874451e-02
1.510000000000000000e+02,3.530375659465789795e-02,2.700332086533308029e-03,3.868730971589684486e-03,3.968557715415954590e-02,1.265693902969360352e-01,3.682440891861915588e-02
1.520000000000000000e+02,3.540315106511116028e-02,2.721435623243451118e-03,3.875063033774495125e-03,3.978487476706504822e-02,1.281453371047973633e-01,3.712397068738937378e-02
1.530000000000000000e+02,3.550277650356292725e-02,2.742560114711523056e-03,3.881646320223808289e-03,3.988393396139144897e-02,1.297361105680465698e-01,3.742765635251998901e-02
1.540000000000000000e+02,3.560352325439453125e-02,2.763710683211684227e-03,3.888452891260385513e-03,3.998265415430068970e-02,1.313416361808776855e-01,3.773500397801399231e-02
1.550000000000000000e+02,3.570556640625000000e-02,2.784865209832787514e-03,3.895480651408433914e-03,4.008106887340545654e-02,1.329606473445892334e-01,3.804628551006317139e-02
