Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
8.600000000000000000e+01,3.134965151548385620e-02,6.492973305284976959e-03,9.775803424417972565e-03,3.493176028132438660e-02,2.212447822093963623e-01,5.914134159684181213e-02
8.700000000000000000e+01,3.140750899910926819e-02,6.533800624310970306e-03,1.006664708256721497e-02,3.497846424579620361e-02,2.242247313261032104e-01,6.086166575551033020e-02
8.800000000000000000e+01,3.147055208683013916e-02,6.576266605406999588e-03,1.037250924855470657e-02,3.502964228391647339e-02,2.272444218397140503e-01,6.266921013593673706e-02
8.900000000000000000e+01,3.153785318136215210e-02,6.620344705879688263e-03,1.069105509668588638e-02,3.508488088846206665e-02,2.303051799535751343e-01,6.455548852682113647e-02
9.000000000000000000e+01,3.160838782787322998e-02,6.665831897407770157e-03,1.102053374052047729e-02,3.514385595917701721e-02,2.334079891443252563e-01,6.651163101196289062e-02
9.100000000000000000e+01,3.168214857578277588e-02,6.712608505040407181e-03,1.135915517807006836e-02,3.520618379116058350e-02,2.365530580282211304e-01,6.852849572896957397e-02
9.200000000000000000e+01,3.175910934805870056e-02,6.760516203939914703e-03,1.170467026531696320e-02,3.527159243822097778e-02,2.397413849830627441e-01,7.059697806835174561e-02
9.300000000000000000e+01,3.183917701244354248e-02,6.809478159993886948e-03,1.205318048596382141e-02,3.533973544836044312e-02,2.429722994565963745e-01,7.270807772874832153e-02
9.400000000000000000e+01,3.192227333784103394e-02,6.859344430267810822e-03,1.240218244493007660e-02,3.541027009487152100e-02,2.462458908557891846e-01,7.485318928956985474e-02
9.500000000000000000e+01,3.200825676321983337e-02,6.910020485520362854e-03,1.274972129613161087e-02,3.548290207982063293e-02,2.495611906051635742e-01,7.702361047267913818e-02
9.600000000000000000e+01,3.209730982780456543e-02,6.961372215300798416e-03,1.309376209974288940e-02,3.555741906166076660e-02,2.529180347919464111e-01,7.921137660741806030e-02
9.700000000000000000e+01,3.218950703740119934e-02,7.013520691543817520e-03,1.343273464590311050e-02,3.563347086310386658e-02,2.563145756721496582e-01,8.140894025564193726e-02
9.800000000000000000e+01,3.228470683097839355e-02,7.066394202411174774e-03,1.376510597765445709e-02,3.571089729666709900e-02,2.597505152225494385e-01,8.360922336578369141e-02
9.900000000000000000e+01,3.238300606608390808e-02,7.119909860193729401e-03,1.408962067216634750e-02,3.578955307602882385e-02,2.632246613502502441e-01,8.580533415079116821e-02
1.000000000000000000e+02,3.248409926891326904e-02,7.173821330070495605e-03,1.440500468015670776e-02,3.586906567215919495e-02,2.667343616485595703e-01,8.799111098051071167e-02
1.010000000000000000e+02,3.258808702230453491e-02,7.228105328977108002e-03,1.470997277647256851e-02,3.594936430454254150e-02,2.702790200710296631e-01,9.016083180904388428e-02
1.020000000000000000e+02,3.269490227103233337e-02,7.282624952495098114e-03,1.500308234244585037e-02,3.603032603859901428e-02,2.738569974899291992e-01,9.230968356132507324e-02
1.030000000000000000e+02,3.280448168516159058e-02,7.337366696447134018e-03,1.528371404856443405e-02,3.611174225807189941e-02,2.774665057659149170e-01,9.443212300539016724e-02
1.040000000000000000e+02,3.291675075888633728e-02,7.392253261059522629e-03,1.555189862847328186e-02,3.619352728128433228e-02,2.811061441898345947e-01,9.652445465326309204e-02
1.050000000000000000e+02,3.303162381052970886e-02,7.447148673236370087e-03,1.580740883946418762e-02,3.627555817365646362e-02,2.847732007503509521e-01,9.858211874961853027e-02
1.060000000000000000e+02,3.314917534589767456e-02,7.501959800720214844e-03,1.605034060776233673e-02,3.635779768228530884e-02,2.884674966335296631e-01,1.006020531058311462e-01
1.070000000000000000e+02,3.326932340860366821e-02,7.556661963462829590e-03,1.628058403730392456e-02,3.644015640020370483e-02,2.921862602233886719e-01,1.025803983211517334e-01
1.080000000000000000e+02,3.339183330535888672e-02,7.611132692545652390e-03,1.649829745292663574e-02,3.652245551347732544e-02,2.959275841712951660e-01,1.045151427388191223e-01
