benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,l1_absolute_u,l2_relative_u,l1_absolute_v,l2_relative_v,l1_absolute_p,l2_relative_p,model
kovasznay,FF,FF_s1,3,10,0,1234,,,1.0,3.0,0.01,200,40000,200,5000,323,313.0,2.1393232345581055,10.712828159332275,261.36627197265625,6273,arm64,0.35139264650537605,0.34940618840746457,0.1032497812800532,1.2580273542651654,0.3246186555088633,1.0575298726741071,FF_s1
kovasznay,FF,FF_s1,3,10,1,1235,,,1.0,3.0,0.01,200,40000,200,5000,323,313.0,1.9365437030792236,10.492974996566772,574.1185779571533,13887,arm64,0.4858444374209679,0.4974239038129468,0.08633260728424909,1.0488560119169552,0.24965716473844068,0.7965611811359442,FF_s1
kovasznay,FF,FF_s1,3,10,2,1236,,,1.0,3.0,0.01,200,40000,200,5000,323,313.0,2.4716832637786865,10.346405029296875,512.224513053894,12642,arm64,0.5715786332053489,0.5912035729586147,0.07966007528283345,0.9677620647323492,0.26735488766917054,0.8848172379075405,FF_s1
kovasznay,FF,FF_s1,3,10,3,1237,,,1.0,3.0,0.01,200,40000,200,5000,323,313.0,0.17513969540596008,10.45345401763916,391.253408908844,9884,arm64,0.028836558142708708,0.03724836031137615,0.018803235198052153,0.2674732366778489,0.035704696463424064,0.162259034500481,FF_s1
kovasznay,FF,FF_s1,3,10,4,1238,,,1.0,3.0,0.01,200,40000,200,5000,323,313.0,1.592780590057373,9.426950931549072,483.7749881744385,12874,arm64,0.277288510217466,0.3011072269113382,0.08395810018621606,1.0096085633645355,0.25427707883890527,0.846445487245144,FF_s1
kovasznay,FF,FF_s5,3,10,0,1234,,,5.0,3.0,0.01,200,40000,200,5000,323,313.0,3.3764443397521973,11.099410057067871,9.343289852142334,229,arm64,0.6163750426585826,0.6336852594027359,0.08290305930015024,0.9999928260973611,0.3163436705228666,1.02797001615578,FF_s5
kovasznay,FF,FF_s5,3,10,1,1235,,,5.0,3.0,0.01,200,40000,200,5000,323,313.0,3.4815406799316406,10.602894067764282,49.98013520240784,1251,arm64,0.654318884553898,0.6724138680416312,0.08291215196561391,1.0000205583443345,0.33690903842619274,1.0799046678857147,FF_s5
kovasznay,FF,FF_s5,3,10,2,1236,,,5.0,3.0,0.01,200,40000,200,5000,323,313.0,3.3272204399108887,10.336363792419434,6.016571760177612,144,arm64,0.6521106806487041,0.670315173163315,0.08296847904854332,1.000531089611236,0.3242572423358005,1.046846791852338,FF_s5
kovasznay,FF,FF_s5,3,10,3,1237,,,5.0,3.0,0.01,200,40000,200,5000,323,313.0,3.206062078475952,10.237897872924805,72.14517402648926,1818,arm64,0.6169069423469751,0.6324410043291396,0.08308531991275084,1.0029539748763583,0.31738067609180476,1.0291740133177898,FF_s5
kovasznay,FF,FF_s5,3,10,4,1238,,,5.0,3.0,0.01,200,40000,200,5000,323,313.0,3.614962577819824,9.805032968521118,69.84089994430542,1914,arm64,0.6195458107201047,0.6370325291318888,0.08292036828577537,1.0002190092850225,0.3288628784080126,1.0584958534827473,FF_s5
kovasznay,LPA,LPA_P6_N30,3,10,0,1234,6.0,30.0,,,0.01,200,40000,200,5000,313,,0.00023966157459653914,19.036024808883667,289.85009002685547,3985,arm64,0.002470088809807041,0.002825691261727,0.0009894792837487492,0.012488698523260705,0.0011605063817146594,0.003882239944661766,LPA
